chateau-bodrog-5-puttonyos-2013	lec		La bouteille de 50 Cl.	15.95	-	https://www.macave.leclerc/chateau-bodrog-5-puttonyos-2013		Vins du Monde- Vin Blanc Moelleux	Hongrie - Tokaji	2013	Vins du Monde- Vin Blanc Moelleux	La bouteille de 50 Cl.31.9 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/h/chateau_bodrog_2013.jpg	
costa-nera-by-las-ninas-reserva-cabernet-sauvignon-2016	lec		La bouteille de 75 Cl.	6.95	-	https://www.macave.leclerc/costa-nera-by-las-ninas-reserva-cabernet-sauvignon-2016		Vins du Monde- Vin Rouge	Chili - Colchagua Valley	2016	Vins du Monde- Vin Rouge	La bouteille de 75 Cl.9.27 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/o/costa_nera_reserva_vina_las_ninas_2016.jpg	
piccini-sasso-al-poggio-2012	lec		La bouteille de 75 Cl.	8.95	-	https://www.macave.leclerc/piccini-sasso-al-poggio-2012		Vins du Monde- Vin Rouge	Italie - IGT Toscana	2012	Vins du Monde- Vin Rouge	La bouteille de 75 Cl.11.93 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/a/sasso_al_poggio_2012.jpg	
fontanafredda-2013	lec		La bouteille de 75 Cl.	17.90	-	https://www.macave.leclerc/fontanafredda-2013		Vins du Monde- Vin Rouge	Italie - DOC Barolo	2013	Vins du Monde- Vin Rouge	La bouteille de 75 Cl.23.87 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/a/barolo_fontanafredda_2013.jpg	
penfolds-koonunga-hill-chardonnay-2016	lec		La bouteille de 75 Cl.	8.99	-	https://www.macave.leclerc/penfolds-koonunga-hill-chardonnay-2016		Vins du Monde- Vin Blanc	Australie	2016	Vins du Monde- Vin Blanc	La bouteille de 75 Cl.11.99 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/e/penfolds_koonunga_hill_blanc_2015.jpg	
penfolds-koonunga-hill-shiraz-cabernet-2015	lec		La bouteille de 75 Cl.	8.99	-	https://www.macave.leclerc/penfolds-koonunga-hill-shiraz-cabernet-2015		Vins du Monde- Vin Rouge	Australie	2015	Vins du Monde- Vin Rouge	La bouteille de 75 Cl.11.99 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/p/e/penfolds_bin_2_shiraz_mataro_2013_1_1.jpg	
allegrini-corte-giara	lec		La bouteille de 75 Cl.	8.50	-	https://www.macave.leclerc/allegrini-corte-giara		Vins du Monde- Vin Rouge	Italie - DOC Bardolino	2016	Vins du Monde- Vin Rouge	La bouteille de 75 Cl.11.33 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/macave-vf16-allegrini-corte-giara-403x471.jpg	
il-palazzo	lec		La bouteille de 75 Cl.	8.95	-	https://www.macave.leclerc/il-palazzo		Vins du Monde- Vin Rouge	Italie - DOP Chianti	2014	Vins du Monde- Vin Rouge	La bouteille de 75 Cl.11.93 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/i/l/il_palazzo_chianti_2014.jpg	
mesta	lec		La bouteille de 75 Cl.	3.95	-	https://www.macave.leclerc/mesta		Vins du Monde- Vin Rouge	Espagne - DO Uclés Tempranillo	2016	Vins du Monde- Vin Rouge	La bouteille de 75 Cl.5.27 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/E/MESTA_TEMPRANILLO_2015.jpg	
dragon-seal	lec		La bouteille de 75 Cl.	5.70	-	https://www.macave.leclerc/dragon-seal		Vins du Monde- Vin Rouge	Chine	2014	Vins du Monde- Vin Rouge	La bouteille de 75 Cl.7.6 € / L (prix E.Leclerc)	https://www.macave.leclerc/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/D/R/DRAGON_SEAL_2014.jpg	
