3472-la-fontesole-latude-2014	0	-	75 cl	10.6	-	-	-	#	-	
3651-silex-2015	0	-	75 cl	16.5	-	-	-	#	-	
3650-le-cirque-rouge-2014	0	-	75 cl	6	-	-	-	#	-	
3417-le-petit-cochonnet-grenache-rose-2016	0	-	75 cl	4.2	-	-	-	#	-	
3308-domaine-roque-sestiere-vieilles-vignes-2015	0	-	75 cl	8.9	-	-	-	#	-	
3434-les-jamelles-malbec-2015	0	-	75 cl	6.95	-	-	-	#	-	
2307-chateau-de-chambert-grand-vin-2013	0	-	75 cl	19.95	-	-	-	#	-	
3708-domaine-3-vallees-2015	0	-	75 cl	9.5	-	-	-	#	-	
3624-domaine-de-vedilhan-2016	0	-	75 cl	7.8	-	-	-	#	-	
3305-roque-sestiere-a-l-oree-des-pins-2014	0	-	75 cl	7.8	-	-	-	#	-	
3641-les-jamelles-viognier-2016	0	-	75 cl	6.95	-	-	-	#	-	
2312-chateau-nozieres-l-elegance-2011	0	-	75 cl	15.9	-	-	-	#	-	
1979-alain-brumont-chateau-bouscasse-vieilles-vignes-2014	0	-	75 cl	17.94	-	-	-	#	-	
2968-domaine-guirardel-bi-de-casau-2012	0	-	75 cl	19.9	-	-	-	#	-	
3418-le-petit-cochonnet-sauvignon-2015	0	-	75 cl	5.5	-	-	-	#	-	
1981-alain-brumont-chateau-montus-2014	0	-	75 cl	15	-	-	-	#	-	
2025-domaine-georges-vigouroux-le-vassal-de-mercues-2012	0	-	75 cl	9.5	-	-	-	#	-	
2183-domaine-agathe-bursin-esprit-de-calcaire-2012	0	-	75 cl	47	-	-	-	49,90	-	
1010-domaine-l-ancienne-cure-l-extase-2012	0	-	75 cl	16.6	-	-	-	#	-	
1491-louis-sipp-riesling-grand-cru-kirchberg-de-ribeauville-selection-de-grains-nobles-2006-50cl	0	-	50cl	55	-	-	-	#	-	
3637-le-vassal-de-mercues-2015	0	-	75 cl	9.95	-	-	-	#	-	
2952-maison-trimbach-pinot-gris-reserve-personnelle-2013	0	-	75 cl	25.8	-	-	-	26,90	-	
2949-maison-trimbach-pinot-gris-vendanges-tardives-2008	0	-	75 cl	34.3	-	-	-	42,00	-	
3278-croix-de-bebian-2015	0	-	75 cl	7.95	-	-	-	#	-	
3510-domaine-guirardel-bi-de-casau-2007	0	-	75 cl	18.9	-	-	-	#	-	
2946-maison-trimbach-riesling-cuvee-frederic-emile-2007	0	-	75 cl	41	-	-	-	42,00	-	
2301-leon-beyer-riesling-les-ecaillers-2008	0	-	75 cl	21	-	-	-	#	-	
960-louis-sipp-riesling-grand-cru-osterberg-2008	0	-	75 cl	22	-	-	-	#	-	
958-louis-sipp-riesling-grand-cru-kirchberg-de-ribeauville-2011	0	-	75 cl	21	-	-	-	#	-	
889-domaine-eric-rominger-riesling-grand-cru-zinnkoepfle-les-sinneles-2011	0	-	75 cl	20.3	-	-	-	#	-	
2955-maison-trimbach-pinot-gris-reserve-2013	0	-	75 cl	15.95	-	-	-	#	-	
959-louis-sipp-riesling-grand-cru-osterberg-2010	0	-	75 cl	22	-	-	-	#	-	
2948-maison-trimbach-riesling-cuvee-frederic-emile-2009	0	-	75 cl	43.5	-	-	-	49,90	-	
3636-chateau-de-haute-serre-2014	0	-	75 cl	17	-	-	-	#	-	
3109-pommard-les-vignots-2015	0	-	75 cl	29.5	-	-	-	#	-	
1473-chateau-de-chamirey-clos-du-roi-2012	0	-	75 cl	31	-	-	-	#	-	
3638-chateau-de-mercues-2015	0	-	75 cl	17	-	-	-	#	-	
3117-domaine-lucien-muzard-fils-santenay-1er-cru-maladiere-2014	0	-	75 cl	27.5	-	-	-	#	-	
3314-maison-louis-jadot-pouilly-fuisse-2014	0	-	75 cl	21.6	-	-	-	#	-	
3572-joseph-drouhin-pouilly-vinzelles-2015	0	-	75 cl	16.8	-	-	-	#	-	
2950-maison-trimbach-pinot-gris-vendanges-tardives-2008	0	-	75 cl	36.5	-	-	-	42,00	-	
2214-albert-bichot-domaine-long-depaquit-chablis-1er-cru-les-lys-2013	0	-	75 cl	23.9	-	-	-	#	-	
3227-chateau-de-marsannay-blanc-marsannay	0	-	75 cl	23.8	-	-	-	#	-	
3537-domaine-du-clos-du-fief-bourgogne-blanc-2015	0	-	75 cl	9.9	-	-	-	#	-	
