col-de-la-serre-rouge-2016	1	Cépages	Grenache (20%), Syrah (20%), Mourvèdre (60%)		
col-de-la-serre-rouge-2016	2	Propriétaire/Domaine	Col de la Serre		
col-de-la-serre-rouge-2016	3	Millésime	2016		
col-de-la-serre-rouge-2016	4	Région	Languedoc-Roussillon		
col-de-la-serre-rouge-2016	5	Pays	France		
col-de-la-serre-rouge-2016	6	Type	Vin		
col-de-la-serre-rouge-2016	7	Couleur	Rouge		
col-de-la-serre-rouge-2016	8	Contenance (cl)	75 cl		
col-de-la-serre-rouge-2016	9	Degré d'alcool	13%		
col-de-la-serre-rouge-2016	10	Appellation	Saint-Chinian		
col-de-la-serre-rouge-2016	11	Producteur	Cave de Roquebrun		
schiste-rose-2016	1	Cépages	Gamay, Pinot noir		
schiste-rose-2016	2	Propriétaire/Domaine	Schistes rosé		
schiste-rose-2016	3	Millésime	2016		
schiste-rose-2016	4	Région	Val de Loire		
schiste-rose-2016	5	Pays	France		
schiste-rose-2016	6	Type	Vin		
schiste-rose-2016	7	Couleur	Rosé		
schiste-rose-2016	8	Contenance (cl)	75 cl		
schiste-rose-2016	9	Degré d'alcool	12,5°		
schiste-rose-2016	10	Appellation	Val de Loire		
schiste-rose-2016	11	Producteur	Jean Mourat		
domaine-pelaquie-15	1	Cépages	Grenache, Syrah, Mourvèdre		
domaine-pelaquie-15	2	Propriétaire/Domaine	Domaine Pélaquié		
domaine-pelaquie-15	3	Millésime	2015		
domaine-pelaquie-15	4	Région	Vallée du Rhône		
domaine-pelaquie-15	5	Pays	France		
domaine-pelaquie-15	6	Type	Vin		
domaine-pelaquie-15	7	Couleur	Rouge		
domaine-pelaquie-15	8	Contenance (cl)	75 cl		
domaine-pelaquie-15	9	Degré d'alcool	14.5%		
domaine-pelaquie-15	10	Appellation	Côtes du Rhône Villages		
arnaud-aucoeur-chapelle-des-bois-rdf-2015	1	Cépages	Gamay		
arnaud-aucoeur-chapelle-des-bois-rdf-2015	2	Propriétaire/Domaine	Vignoble Aucoeur		
arnaud-aucoeur-chapelle-des-bois-rdf-2015	3	Millésime	2015		
arnaud-aucoeur-chapelle-des-bois-rdf-2015	4	Région	Beaujolais		
arnaud-aucoeur-chapelle-des-bois-rdf-2015	5	Pays	France		
arnaud-aucoeur-chapelle-des-bois-rdf-2015	6	Type	Vin		
arnaud-aucoeur-chapelle-des-bois-rdf-2015	7	Couleur	Rouge		
arnaud-aucoeur-chapelle-des-bois-rdf-2015	8	Contenance (cl)	75 cl		
arnaud-aucoeur-chapelle-des-bois-rdf-2015	9	Degré d'alcool	13%		
arnaud-aucoeur-chapelle-des-bois-rdf-2015	10	Appellation	Fleurie		
arnaud-aucoeur-chapelle-des-bois-rdf-2015	11	Producteur	Arnaud Aucoeur		
domaine-raphael-sallet-reflets-de-france-2015	1	Cépages	Chardonnay (100%)		
domaine-raphael-sallet-reflets-de-france-2015	2	Propriétaire/Domaine	Domaine Raphael Sallet "Reflets de France"		
domaine-raphael-sallet-reflets-de-france-2015	3	Millésime	2015		
domaine-raphael-sallet-reflets-de-france-2015	4	Région	Bourgogne		
domaine-raphael-sallet-reflets-de-france-2015	5	Pays	France		
domaine-raphael-sallet-reflets-de-france-2015	6	Type	Vin		
domaine-raphael-sallet-reflets-de-france-2015	7	Couleur	Blanc		
domaine-raphael-sallet-reflets-de-france-2015	8	Contenance (cl)	75 cl		
domaine-raphael-sallet-reflets-de-france-2015	9	Degré d'alcool	13°		
domaine-raphael-sallet-reflets-de-france-2015	10	Appellation	Mâcon-Uchizy		
domaine-raphael-sallet-reflets-de-france-2015	11	Producteur	Raphaël Sallet		
chateau-haut-peyraud-bio-2013	1	Cépages	Cabernet Sauvignon, Merlot		
chateau-haut-peyraud-bio-2013	2	Propriétaire/Domaine	Château Haut-Peyraud		
chateau-haut-peyraud-bio-2013	3	Millésime	2013		
chateau-haut-peyraud-bio-2013	4	Région	Bordeaux		
chateau-haut-peyraud-bio-2013	5	Pays	France		
chateau-haut-peyraud-bio-2013	6	Type	Vin		
chateau-haut-peyraud-bio-2013	7	Couleur	Rouge		
chateau-haut-peyraud-bio-2013	8	Contenance (cl)	75 cl		
chateau-haut-peyraud-bio-2013	9	Degré d'alcool	13%		
chateau-haut-peyraud-bio-2013	10	Appellation	Blaye-Côtes-de-Bordeaux		
chateau-vieux-gabiran-2015	1	Cépages	Cabernet Franc, Cabernet Sauvignon, Merlot		
chateau-vieux-gabiran-2015	2	Propriétaire/Domaine	Château Vieux Gabiran		
chateau-vieux-gabiran-2015	3	Millésime	2015		
chateau-vieux-gabiran-2015	4	Région	Bordeaux		
chateau-vieux-gabiran-2015	5	Pays	France		
chateau-vieux-gabiran-2015	6	Type	Vin		
chateau-vieux-gabiran-2015	7	Couleur	Rouge		
