vignoble-abeille-2014	0	Quantity	Par 1	24.2		-			-	
les-3-lys-2016	0	Quantity	Par 1	7.9		-			-	
domaine-martinelli-rdf-15	0	Quantity	Par 1	8.95		-			-	
domaine-le-serre-des-mourres-rdf-16	0	Quantity	Par 1	14.5		-			-	
domaine-de-la-daysse-2016	0	Quantity	Par 1	11.1		-			-	
maison-guigal-2016	0	Quantity	Par 1	7.95		-			-	
75-aoc-gigondas-rouge-la-cave-d-augustin-florent-2014	0	Quantity	Par 1	9.65		-			-	
cotes-du-rhone-rouge-guigal-2013	0	Quantity	Par 1	7.9		-			-	
maison-tardieu-laurent-2015	0	Quantity	Par 1	6.95		-			-	
cote-rotie-grand-vin-2014	0	Quantity	Par 1	27.7		-			-	
75-aoc-cote-rotie-rg-vignes-rousses-14c6	0	Quantity	Par 1	29.95		-			-	
la-resistance-16	0	Quantity	Par 1	5.95		-			-	
albert-vanel-14	0	Quantity	Par 1	29.95		-			-	
chateau-laur-prestige-cuvee-prestige-2014	0	Quantity	Par 6	4.5		-			-	
buzet-rouge-vigne-henry-2014-bio	0	Quantity	Par 1	5.95		-			-	
chateau-la-salagre-2016	0	Quantity	Par 6	4.9		-			-	
chateau-cote-de-france-2014	0	Quantity	Par 6	4.7		-			-	
chateau-lagrezette-adp-2007	0	Quantity	Par 1	17.1		-			-	
chateau-simone-13	0	Quantity	Par 1	38.0		-			-	
domaine-du-loou-16	0	Quantity	Par 1	6.2		-			-	
coteaux-daix-en-provence-rose-hecht-et-bannier-2016	0	Quantity	Par 1	7.5		-			-	
terres-des-glauges-2016	0	Quantity	Par 1	6.2		-			-	
les-hauts-de-landue-2016	0	Quantity	Par 1	7.5		-			-	
clos-milelli-16	0	Quantity	Par 1	4.7		-			-	
domaine-torraccia	0	Quantity	Par 1	8.3		-			-	
domaine-modat-2014	0	Quantity	Par 1	19.95		-			-	
prieure-saint-jean-de-bebian-03	0	Quantity	Par 1	24.5		-			-	
domaine-villeneuve-16	0	Quantity	Par 1	8.5		-			-	
l-ostalon-de-l-ostal-cazes	0	Quantity	Par 1	8.75		-			-	
domaine-guillemarine-2016	0	Quantity	Par 6	4.95		-			-	
075-aoc-picpoul-pinet-blc-bio-dom-du-petit-roubie-16-c6	0	Quantity	Par 1	6.15		-			-	
domaine-de-l-hortus-15	0	Quantity	Par 1	23.95		-			-	
les-hauts-de-gabriac-reflets-de-france-16	0	Quantity	Par 1	6.7		-			-	
tete-belier-puech-haut-15	0	Quantity	Par 1	23.5		-			-	
chateau-hospitalet-2014	0	Quantity	Par 1	19.95		-			-	
puech-haut-prestige-blanc-16	0	Quantity	Par 1	15.5		-			-	
clos-du-lucquier-2013	0	Quantity	Par 1	19.95		-			-	
puech-haut-prestige-15	0	Quantity	Par 1	13.9		-			-	
75aoc-ctx-lang-rg-terrasse-bio-du-larzac-molrd-filon-14c6-med	0	Quantity	Par 1	7.95		-			-	
chateau-la-negly-2015	0	Quantity	Par 1	7.9		-			-	
75-aoc-ctx-lang-st-saturnin-rge-l-exception-13-c6	0	Quantity	Par 1	5.7		-			-	
tautavel-gerard-bertrand-hommage-aux-vignerons-2015	0	Quantity	Par 1	18.9		-			-	
tautavel-reserve-gerard-bertrand-15	0	Quantity	Par 1	5.3		-			-	
domaine-torraccia-2016	0	Quantity	Par 1	8.1		-			-	
lucian-2012	0	Quantity	Par 1	5.9		-			-	
domaine-casabianca-2015	0	Quantity	Par 1	5.95		-			-	
domaine-francois-franceschi-reflets-de-france-2016	0	Quantity	Par 6	4.95		-			-	
cuvee-r-roubine-16	0	Quantity	Par 1	7.5		-			-	
berne-grande-recolte-2016	0	Quantity	Par 1	7.35		-			-	
rose-a-la-rose-2016	0	Quantity	Par 1	6.4		-			-	
chateau-reillanne-grande-reserve-2016	0	Quantity	Par 1	6.3		-			-	
chateau-pradeaux-11	0	Quantity	Par 1	19.9		-			-	
75-aoc-bandol-rose-domaine-maubernard-16-c6	0	Quantity	Par 1	10.4		-			-	
domaine-bunan-2016	0	Quantity	Par 1	9.95		-			-	
esprit-de-sainte-victoire-2016	0	Quantity	Par 1	5.95		-			-	
chateau-colbert-cannet-diamant-2016	0	Quantity	Par 1	5.95		-			-	
la-baie-des-pointus-2016	0	Quantity	Par 1	6.95		-			-	
l-excellence-des-marquets-2016	0	Quantity	Par 1	5.9		-			-	
sainte-victoire-reflets-de-france-2016	0	Quantity	Par 1	5.7		-			-	
75-aoc-ctes-de-provence-rs-caf-16-c6-bio	0	Quantity	Par 6	4.5		-			-	
chateau-camparnaud-reflets-de-france-2016	0	Quantity	Par 1	5.5		-			-	
chateau-virant-2016	0	Quantity	Par 1	5.2		-			-	
domaine-les-toulons-2016	0	Quantity	Par 6	4.8		-			-	
chateau-montaurone-2016	0	Quantity	Par 6	4.6		-			-	
1912-l-escarelle-cuvee-loube-2016	0	Quantity	Par 1	5.5		-			-	
chateau-henri-bonnaud-les-terrasses-d-aurelia-2013	0	Quantity	Par 1	11.6		-			-	
