pierre-chanau-pierre-chanau-muscadet-sevre-et-maine-sur-lie-blanc	auc	PIERRE CHANAU Pierre Chanau Muscadet Sèvre et Maine sur Lie Blanc	Bouteille / 75cl	6.9		https://www.auchan.fr/pierre-chanau-pierre-chanau-muscadet-sevre-et-maine-sur-lie-blanc/p-c393586		Val de Loire	Muscadet-Sevre et Maine	2014	Blanc	75 CL	https://media1.auchan.fr/_ui/v1466_124a5a3a91a9/mobile/images/missing-product-468x468.jpg	
muscadet-sevre-et-maine-sur-lie-chateau-guerande-marguais-2015-75cl	auc	Muscadet Sevre et Maine sur Lie Château Guerande Marguais 2015 75cl	Bouteille / 75cl	6.9		https://www.auchan.fr/muscadet-sevre-et-maine-sur-lie-chateau-guerande-marguais-2015-75cl/p-c999662					#	#	https://media1.auchan.fr/images/hc0/h82/12865421410334.jpg	
domaine-de-la-vinconniere-muscadet-sevre-et-maine-sur-lie-blanc-2016	auc	Domaine de la Vinconnière Muscadet Sèvre et Maine sur Lie Blanc 2016	Bouteille / 75cl	6.5		https://www.auchan.fr/domaine-de-la-vinconniere-muscadet-sevre-et-maine-sur-lie-blanc-2016/p-c440095		Val de Loire	Muscadet-Sevre et Maine	2016	Blanc	75 CL	https://media1.auchan.fr/_ui/v1466_124a5a3a91a9/mobile/images/missing-product-468x468.jpg	
pierre-chanau-muscadet-sevre-et-maine-sur-lie-blanc-2014	auc	PACK PROMO Pierre Chanau Muscadet Sèvre et Maine sur Lie Blanc 2014	piece / 4.5l	34.5	41.40	https://www.auchan.fr/pierre-chanau-muscadet-sevre-et-maine-sur-lie-blanc-2014/p-cl890297		Val de Loire	Muscadet-Sevre et Maine	2014	Blanc	75 CL	https://media1.auchan.fr/images/hb4/h69/12415920603166.jpg	
alphonse-mellot-pouilly-fume-blanc-2016	auc	Alphonse Mellot Pouilly Fumé Blanc 2016	Bouteille / 75cl	16.9		https://www.auchan.fr/alphonse-mellot-pouilly-fume-blanc-2016/p-c999283					#	#	https://media1.auchan.fr/images/hcc/hb2/12880259153950.jpg	
pierre-chanau-pierre-chanau-rose-de-loire-2014	auc	PIERRE CHANAU Pierre Chanau Rosé de Loire 2014	Bouteille / 75cl	5.5		https://www.auchan.fr/pierre-chanau-pierre-chanau-rose-de-loire-2014/p-c399126		Val de Loire	Rosé de Loire	2014	Rosé	75 CL	https://media1.auchan.fr/_ui/v1466_124a5a3a91a9/mobile/images/missing-product-468x468.jpg	
domaine-de-la-petite-croix-rose-de-loire-rose-2016	auc	Domaine De La Petite Croix  Rosé de Loire Rosé 2016	Bouteille / 75cl	6.9		https://www.auchan.fr/domaine-de-la-petite-croix-rose-de-loire-rose-2016/p-c440093		Val de Loire	Rosé de Loire	2016	Rosé	75 CL	https://media1.auchan.fr/_ui/v1466_124a5a3a91a9/mobile/images/missing-product-468x468.jpg	
domaine-thomas-sancerre-blanc-2016	auc	Domaine Thomas Sancerre Blanc 2016	Bouteille / 75cl	13.9		https://www.auchan.fr/domaine-thomas-sancerre-blanc-2016/p-c968786		Val de Loire	Sancerre	2016	Blanc	75 CL	https://media1.auchan.fr/_ui/v1466_124a5a3a91a9/mobile/images/missing-product-468x468.jpg	
domaine-thomas-sancerre-rouge-2015	auc	Domaine Thomas Sancerre Rouge 2015	Bouteille / 75cl	14.67		https://www.auchan.fr/domaine-thomas-sancerre-rouge-2015/p-c968775			Sancerre	2015	Rouge	75 CL	https://media1.auchan.fr/images/h76/hf1/12895069110302.jpg	
domaine-dominique-et-janine-crochet-sancerre-rouge-2014	auc	Domaine Dominique et Janine Crochet Sancerre Rouge 2014	Bouteille / 75cl	12.47		https://www.auchan.fr/domaine-dominique-et-janine-crochet-sancerre-rouge-2014/p-c440088		Val de Loire	Sancerre	2014	Rouge	75 CL	https://media1.auchan.fr/_ui/v1466_124a5a3a91a9/mobile/images/missing-product-468x468.jpg	
domaine-alain-girard-sancerre	auc	Domaine Alain Girard Sancerre	Bouteille / 75l	17.86		https://www.auchan.fr/domaine-alain-girard-sancerre/p-c998516		Val de Loire	Sancerre	2016	Blanc	75 CL	https://media1.auchan.fr/images/h90/h86/12895522947102.jpg	
domaine-de-quints-saumur-bio-blanc-2015	auc	Domaine de Quints Saumur Bio Blanc 2015	Bouteille / 75cl	7.5		https://www.auchan.fr/domaine-de-quints-saumur-bio-blanc-2015/p-c1005001					#	#	https://media1.auchan.fr/images/ha0/ha5/12859806416926.jpg	
